description,input_description,output_description,problem_class,problem_score
"In order to draw more support and make their unhappiness
    known to the municipality, a group of citizens has agreed to
    gather at an intersection of the city to protest. The question
    is: which intersection? Since there is not much difference
    between them, the idea was raised to select an intersection
    $(x^*,y^*)$ that minimizes
    the total distance everyone has to travel. Since everyone lives
    close to an intersection, the individual distance travelled by
    someone who lives at $(x,y)$ is given by $|x-x^*|+|y-y^*|$.
However, this could present a problem for the people who
    live far away, since they might have trouble getting there in
    time. Therefore it was decided that the intersection should be
    at most a certain distance $d$ away from everyone. Given that
    restriction, can you help them identify an intersection that
    minimizes the total distance everyone has to travel?
",The input consists of:,"Output one line with a single integer: the smallest possible
    total distance that all citizens need to travel. If there is no
    intersection that everyone lives within a distance $d$ of, output “impossible” instead.",hard,8.6
"Digital physics is a set of ideas and hypotheses that
    revolve around the concept of computable universe. Maybe our
    universe is just a big program running on a Turing machine? Is
    the state of the universe finite? Will the life of the universe
    end? We can only theorize.
In order to help advance the current state of knowledge on
    digital physics, we ask you to consider a particular model of
    the universe (which we shall call Bitverse) and determine
    whether its life comes to a conclusion or continues evolving
    forever.
Bitverse consists of a single sequence of $n$ bits (zeros or ones). The universe
    emerges as a particular sequence, in an event called the “Bit
    Bang”, and since then evolves in discrete steps. The rule is
    simple—to determine the next value of the $i$-th bit, look at the current value
    of the bits at positions $i -
    1$ and $i + 1$ (if
    they exist; otherwise assume them to be 0). If you see exactly
    one 1, then the next value of the $i$-th bit is 1, otherwise it is 0.
    All the bits change at once, so the new values in the next
    state depend only on the values in the previous state. We
    consider the universe dead if it contains only zeros.
Given the state of the universe at the Bit Bang, answer the
    following fundamental question: will Bitverse live forever, or
    will it eventually die?
","The first line of the input contains the number of test
    cases $T$, where
    $1 \le T < 2^{16}$.
    Then $T$ lines follow, and
    each contains one test case, which is a string of at least
    $1$ and at most
    $200\, 000$ characters
    0 or 1. The
    total number of 0 and 1 characters across all test cases is at most
    $2^{24}$.","Print the answers to the test cases in the order in which
    they appear in the input. For each test case, print LIVES if the universe lives forever, and
    DIES otherwise.",hard,8.6
"Alice and Bob are playing a game on a directed graph, fully
    visible to both of them. The graph has $n$ nodes labelled $1$ through $n$ and directed arcs between nodes.
    Each arc is colored either red or black. In addition to the
    graph, there is a queue of capacity $k$, fully visible to both of them. At
    the start of the game, Alice places a game piece on node
    $1$, and the queue is
    empty. Bob then inserts colors (either red or black) into the
    back of the queue until the queue is full. Now the main portion
    of the game begins: Alice removes the color at the front of the
    queue and moves the game piece along an outgoing arc of the
    same color from the current node to its destination node (which
    could be the same node in the case of a self-loop). The queue
    now has space for one more color, which Bob must now provide.
    Bob wins if Alice is ever unable to move the game piece, i.e.,
    because there are no outgoing arcs of the appropriate color
    from the current node. Alice wins if she can keep playing
    forever (she really likes this game).
Given the complete description of the graph, determine the
    minimum capacity $k$ for
    the queue such that no matter how well Bob plays, Alice can
    always win.
","Input begins with a line with a single integer $t$, $1
    \leq t \leq 20$, denoting the number of test cases. Each
    test begins with a line with a single integer $n$, $1
    \leq n \leq 12$, denoting the number of nodes in the
    graph. Next follow $n$
    lines each with $n$
    space-separated integers, where the $j$th number in the $i$th line is $1$ if there is a red arc from node
    $i$ to node $j$, and $0$ otherwise. Next follow
    $n$ lines each with
    $n$ space-separated
    integers, where the $j$th
    number in the $i$th line
    is $1$ if there is a black
    arc from node $i$ to node
    $j$, and $0$ otherwise. Remember that node
    $1$ is always the start
    node.","For each test case, print a single integer $k$ on a single line equal to the
    minimum capacity for the queue such that no matter how well Bob
    plays, Alice can always win. If for all $k$, no matter how well Alice plays,
    Bob can always win, print $0$.",hard,8.6
"Consider strings formed from characters from an alphabet of
    size $K$. For example, if
    $K = 4$, our alphabet
    might be ${a,b,c,d}$, and
    an example string is $bbcac$.
For a string $S$,
    define $\mathrm{count}(S,
    k)$ to be the number of occurrences of the symbol
    $k$ in $S$. For example, $\mathrm{count}(bbcac, b) = 2$ and
    $\mathrm{count}(bbcac, a) =
    1$.
A prefix of a string $S$ is any string obtained from
    $S$ by deleting some
    (possibly none) of the trailing characters of $S$. For example, the prefixes of
    $acb$ are the empty
    string, $a$, $ac$, and $acb$.
A string $S$ has “nice
    prefixes” if for every prefix $P$ of $S$ and for every two characters
    $k1$ and $k2$ in the alphabet, $|\mathrm{count}(P, k1) - \mathrm{count}(P,
    k2)| <= 2$. For example, $bbcac$ has nice prefixes, but
    $abbbc$ does not because
    $\mathrm{count}(abbb, b) =
    3$ and $count(abbb, c) =
    0$.
Count the number of strings of length $L$ on an alphabet of size
    $K$ that have nice
    prefixes. This number can be large, so print its remainder when
    divided by 1000000007.
","The input is a single line containing the two integers
    $L$ and $K$, separated by spaces, with
    $1 \leq L \leq 10^{18}$
    and $1 \leq K \leq
    50$.","Output a single line containing the number of strings of
    length $L$ on an alphabet
    of size $K$ that have nice
    prefixes, modulo 1000000007.",hard,8.6
"Blowing things up usually requires careful planning,
    something Luntas is not especially good at. He has randomly
    thrown a number of bombs on his backyard, which can be seen as
    a grid of width and height $N$. Now he only has one bomb left,
    which he intends to use to start the explosion and the
    resulting chain reactions.
A bomb explodes in a cross along the axes of the grid, with
    a blast radius of $R$. If
    a bomb comes in the way of an explosion, that bomb will explode
    as well. Explosions can not pass through the many rocks in
    Luntas backyard though. If an explosion reaches a tree stump,
    it will blow the stump up and continue through the stump. A
    blast radius of $R$ means
    that the blast will affect all the squares with distance at
    most $R$, which have
    either the same $x$-coordinate or the same
    $y$-coordinate as the bomb
    itself.
He now needs your help to find out at how many locations he
    can place his last bomb, such that if it explodes, all the
    stumps on the field will blow up. He may only place the last
    bomb on an empty square.
","The first line consists of two integers: the backyard size
    $1 \le N \le 1\, 000$ and
    the blast radius $1 \le R \le
    20$. Then follow $N$ lines with $N$ characters each, describing the
    backyard as an $N \times
    N$ grid. Each character is one of:","Output should consist of a single integer; the number of
    locations Luntas can place the last bomb on to blow all the
    stumps up.",hard,8.6
"After a long week of work at the ICPC Headquarters, Bill and
    his friends usually go to a small pub on Friday evenings to
    have a couple of beers and play darts. All of them are well
    aware of the fact that their ability at darts decreases at the
    same rate as the amount of beer left in their mugs.
They always play $501$,
    one of the easiest games. Players start with a score of
    $N$ points (typically,
    $N = 501$, hence the name)
    and take turns throwing darts. The score of each player
    decreases by the value of the section hit by the dart, unless
    the score becomes negative, in which case it remains unchanged.
    The first player to reach a score of $0$ wins. The figure below shows the
    dartboard with which the game is played.
As the clock ticks closer to midnight and they start running
    out of beer, everyone wonders the same: is it worth trying to
    aim the dart at a specific section? Or is it better just to
    throw the dart at a random section on the dartboard? You are
    asked to deal with the question by finding out what would
    happen if two players (A and B) applying these two different
    strategies were to play against each other:
Player A throws the darts at random, and consequently
        they land with equal probability in each of the sections of
        the dartboard.
If Player B aims at a certain section, the dart has the
        same probability of landing in the correct one as in each
        of the two adjacent ones (the neighbouring regions to the
        left and right). Moreover, he is completely aware of his
        ability and sober enough to aim at the section that
        maximizes his probability of winning.
Given the initial score of both players, can you determine
    the probability that the first player wins? Of course, being
    the first to throw a dart might be advantageous, so the answer
    depends on who plays first.
","The input consists of a series of at most $502$ lines, each containing an
    integer $N$ ($1 \leq N \leq 501$), the initial
    score of both players. A case with $N = 0$ marks the end of the input and
    must not be processed.","For each number in the input, your program should output a
    line containing two real numbers: the probability that A wins
    if A throws the first dart, and the probability that B wins if
    B throws the first dart. Your answers should be accurate to
    within an absolute or relative error of $10^{-8}$.",hard,8.6
"From the top of his tower of turtles, King Yertle sees the
    moon rising. As everyone knows, the moon is made of green
    cheese and the best cheese in the world is produced in France.
    France has also produced many great mathematicians including
    Descartes, Laplace and Fermat. Fermat’s famous last theorem
    states that the equation
has no non-zero integer solutions for x, y and z when n >
    2. For readability, this equation might be better rendered
While it would be easy to render this equation and other
    mathematical expressions graphically using TeX or LaTeX,
    sometimes we want to include the expressions in text. Providing
    the TeX or LaTeX source for rendering the math is one
    possibility, but it isn’t always easy to read, especially for
    low-TeX people.
Handling all possible expressions would render this question
    intractable, but unary minus (-) and
    the binary operators for addition (+), subtraction (-),
    multiplication (*), division
    (/), exponentiation ()
    and equality (=) are sufficient for
    most math work. Remember that  associates right to left while all of the
    other binary operators associate left to right.
The order of precedence for the operations is
unary - (highest)

* and /
+ and -
=
The grouping operators ()
    (explicit) and {} (implicit) serve to
    usurp the usual order of operations.
Each partial expression fills a rectangular box and has a
    logical vertical centre (LVC). Operators glue text characters
    and boxes together in various ways. Simple numbers and
    variables occupy boxes with the same width as their string
    representation naturally requires (four characters wide for
    “44.4”, for example) and are one
    character high. Since they are only one character high, their
    LVC is on the line containing their text.
The unary minus operator followed by an expression
    $E$ is one character wider
    than $E$. The LVC will be
    the same as for $E$ and
    the character ‘-’ will appear to the
    left of $E$ at the
    LVC.
The binary operators other than /
    and 
    join two expressions $E_1$
    and $E_2$, with the result
    separating the two expressions by three characters positions.
    The character for the operator will appear as the middle
    character at the LVCs of the two expressions. This specifies
    their vertical alignment and the new LVC.
The binary operator / joins two
    expressions $E_1$ and
    $E_2$. The result will be
    a vertical arrangement of $E_1$, a line of hyphens (-) and $E_2$. The line will be as wide as the
    widest of the two expressions. The skinnier one should be
    centered horizontally; if it can’t be centered exactly it
    should be placed one space to the right. The line forms the LVC
    of the result.
The binary operator  joins two expressions, a base and an
    exponent. The result will be the exponent positioned above and
    to the right of the base with no extra space added. The
    result’s LVC will be in line with the base’s LVC.
The implicit grouping operator {}
    does not change the rendering or LVC of the expression that it
    surrounds. The explicit one (()) is
    rendered by adding a column of (s to
    the left of the grouped expression and another column of
    )s on the right. The resulting LVC
    will be halfway down; if this cannot be done exactly then the
    LVC should be placed slightly further downwards.
","Input will consist of expressions using the above operators,
    real numbers (12, 1.2, .35, etc.) and
    single-letter variables (upper and lower case ’a’-’z’). All
    expressions will be syntactically valid; each expression will
    appear on a line by itself, with no spaces. Each expression is
    at most 400 characters long, and there are at most 250
    expressions in the input file. The format for a real number is
    a string of one or more decimal digits with an optional decimal
    point occurring at any position. Support for exponents is not
    required.","Output will be complicated. The sample output will be useful
    for understanding the output specification.",hard,8.6
"A burglar wants to maximize the value of his loot given that
    he has a limited carrying capacity. Which items should he
    choose?
More precisely, there is for every item $i$ a value $v_{i}$ and a cost (or weight)
    $c_{i}$, and there is a
    maximum cost $C$. The
    object is to find a set $S$ such that $\sum _{i \in S} v_ i$ is maximal
    while $\sum _{i \in S} c_ i \le
    C$.
Furthermore, if the burglar breaks into a sweet shop, there
    will be a lot of items, but they won’t be very valuable. On the
    other hand, an art exhibition tends to have few, but very
    valuable objects. Careful field research has shown that the
    trade-off between total value $V$ (the sum of all values) and number
    of items is captured by the inequality $n + 2 \log _{2} V \le 75$.
","The first line contains an integer $1 \le T \le 20$ which is the number
    of test cases. Each test case consist of three lines. The first
    line contains the positive integer $n, 1 \le n \le 60$ and the integer
    capacity $1 \le C \le 2\, 000\,
    000\, 000$. The next two lines consist of $n$ space-separated positive integers
    each, the first being the values $v_{1}, v_2, \ldots , v_ n$, and the
    second the costs $c_1, c_2,
    \ldots , c_ n$.","For each test case, print the maximum value the loot can
    have given the cost constraint. Each test case should produce a
    single line of output.",hard,8.6
"In a corridor in a student dormitory, there are five rooms
    numbered 1, 2,
    3, 4 and
    5; room number 1 is the left-most room,
    and room number 5 is the right-most. The rooms have doors in
    different colours: blue, green, red, white and yellow, but
    not necessarily in that order.
In these rooms live five students Anna, Bernhard,
    Chris, David
    and Ellen of five different
    nationalities Danish, Finnish, Icelandic,
    Norwegian and Swedish. (Both the names and the nationalities
    are given in alphabetical order, so it does not follow
    automatically that Anna is Danish.)
These students have one computer each, and these computers
    are of different kinds: Amiga,
    Atari, Linux,
    Mac and Windows
    (given here in alphabetical order). They each have their own
    favourite programming language: C,
    C++, Java,
    Pascal and Perl
    (also listed in alphabetical order).
You want to find out who owns the Amiga computer based on
    some facts about the students.
","The input consists of several scenarios. The first input
    line contains a number in the range $[1,20]$ indicating how many scenarios
    there are.","For each scenario, you should print a line starting with",hard,8.6
"Given a positive integer $N$, compute the number of primes less
    than $N$.
","The first line contains the integer $N$ ($1
    \le N \le 10^{11}$).","Print the number of primes less than or equal to
    $N$.",hard,8.6
"Fredrik is at home, playing with a custom-built model
    railway which he is very proud of. The railway consists of
    $N$ segments connected in
    a circle, numbered $1, 2, \dots ,
    N$ in clockwise order. Electricity to the train is
    provided through $M$
    curved wires that pass along the circle. Each segment has at
    least one wire that goes along it.
However, Fredrik is becoming bored with his circling train
    and decides to add a train switch to every segment,
    which he could use to cause derailing accidents and other
    exciting scenarios. But the switches also need electricity. And
    not just any kind of electricity; they specifically need
    alternating current.1
The way you get alternating current, Fredrik figures, is by
    having current that goes in both directions. Each wire only
    gives current in one direction (either clockwise or
    counter-clockwise) but Fredrik is free to decide which. Thus,
    what he wants to do is to make a decision about the direction
    of the current in each wire, so that every track segment is
    covered by both a wire with clockwise-directed current and a
    wire with counter-clockwise-directed current.
Can you help Fredrik with this task?
A solution to the first sample. The curved arrows
    outside the railway represent the wires that provide
    electricity. The direction of each arrow represents Fredrik’s
    choice of direction of the current (with the blue and red
    colors emphasizing the different directions). Note that all
    arrows could have been reversed to get the other valid
    solution: 11010.
","The first line contains two integers $N$ and $M$, the number of railway segments
    and the number of wires, respectively.","Output a single line with $M$ characters, each being either
    0 or 1. The
    $i$th character of the
    line should be 0 if the current in
    the $i$th wire given in
    the input should be directed clockwise, or 1 if it should be directed counter-clockwise.
    If there are multiple solutions you may output any of them.",hard,8.6
"Brice Bilson loves to take jogs in a nearby forest known as
    Orthogonal Woods. The forest gets that name as the paths – all
    two-way – are laid out along an orthogonal grid, with all turns
    being 90 degrees. Brice is a bit persnickety when it comes to
    his jogs, and always follows a set of rules when he reaches an
    intersection of two or more paths. These rules are
If there are three remaining branches, Brice takes the
        middle one.
If there are just two remaining branches, Brice takes
        the one on his left.
If there are no branches to take, Brice ends his jog and
        walks to the nearest exit.
Brice is persnickety in another way too. He has assigned
    each path an “interest value”, which is a positive integer
    indicating how interesting that path is to jog. The higher the
    value, the more interesting the path is. If the value of a path
    is $n$, then Brice will
    jog on that path no more than $n$ times in his jog. After the
    $n^{\mbox{th}}$ pass that
    path will cease to exist as far as Brice is concerned (so, for
    example, any three-branch intersection using that path now
    becomes a two-branch intersection and any two-branch
    intersection becomes a one-branch intersection). An example is
    shown in Figure 1 below:
Suppose Brice enters the park at intersection D heading
    north in the figure on the left, where the numbers next to each
    path indicate his interest levels. His travels takes him on the
    route DFGCBADFGCBA at which point we reach the figure on the
    right, showing the updated interest levels of each path and the
    “removal” of the path from A to B since it’s now been traversed
    $2$ times. From
    intersection A Brice now traverses the route ADFGCBEDA at which
    point he hits a dead end and ends his jog.
","Input starts with two integers $n$ and $m$ ($2
    \leq n \leq 2\, 500$) giving the number of intersections
    and the number of paths between intersections. The next line
    contains $n$ pairs of
    integers giving the locations of the intersections.
    Intersections are numbered from $1$ to $n$ in the order they are presented
    and all location values $x,y$ satisfy $0 \leq x,y \leq 10^6$. After this are
    $m$ lines each containing
    three integers $i$
$j$ $k$ ($1
    \leq i,j \leq n, 1 \leq k \leq 10^6$) indicating that a
    path exists between intersections $i$ and $j$ with interest level $k$. All paths will be either vertical
    or horizontal and will not touch any other vertices other than
    the specified intersection points. The final line of input
    contains an integer $s$
    ($1 \leq s \leq n$) and a
    character $d \in \mbox{\{
    N,S,E,W\} }$ indicating that Brice starts his jog by
    taking the path in direction $d$ from intersection $s$. There will always be a path
    heading in direction $d$
    from vertex $s$.",Output the location where Brice ends his jog.,hard,8.5
"You are given a simple connected graph where each edge is
    assigned a non-negative weight. Recall that a minimum spanning
    tree of a graph is a connected, acyclic subset of the edges of
    the graph with minimum total weight. Find an edge which
    maximizes the minimum spanning tree weight of a given graph if
    that edge is deleted. It is guaranteed that the input graph
    remains connected after deleting any one edge.
","The first line of input contains two integers $n$ ($3
    \le n \le 10^5$) and $m$ ($3
    \le m \le 10^6$), where $n$ is the number of vertices and
    $m$ is the number of edges
    in the input graph. The vertices are numbered from $1$ to $n$.","Output a single integer, which is the minimum spanning tree
    weight of the input graph after the right edge is deleted.",hard,8.5
"You have a collection of strings of the same length
    $L$ and are wondering how
    similar they are. We can say that the distance $d(S,T)$ between two strings
    $S$ and $T$ of the same length is the number
    of indices $i$ where
    $S_ i \neq T_ i$. For
    example, $d(\texttt{berry},
    \texttt{bears}) = 2$ since only the third and fifth
    characters differ.
You wonder if your strings are very close to each other.
    That is, for a given distance $D$ you have in mind, is there a
    string $S$ of length
    $L$ such that $d(S,A) \leq D$ for each string
    $A$ in your collection?
    Call such a string $S$ a
    central string. Note that a central string does not
    necessarily have to be one of your strings.
","The first line of input contains three integers $N$ ($1
    \leq N \leq 50$), $L$ ($1
    \leq L \leq 1\, 000\, 000$), and $D$ ($0
    \leq D \leq 6$). Here, $N$ indicates the number of strings in
    your collection, $L$ is
    the common length of these strings, and $D$ is the distance bound you are
    curious about. Then $N$
    lines follow, the $i$’th
    such line contains a single string $A_ i$ of length $L$ consisting of only lowercase
    letters.","Output consists of a single line. If there is a string
    $S$ consisting of only
    lowercase letters such that $d(S,A_ i) \leq D$ for each
    $1 \leq i \leq N$, output
    any such string. Otherwise, simply output the single digit
    0 to indicate there is no central
    string.",hard,8.5
"Frogger is a classic $2$-D video
    game that challenges the player to move a frog character safely
    across a traffic-filled road and a hazardous river. What is not
    well known is that Frogger actually began as a prototype board
    game based on a $1$-D concept at a now-defunct
    toy company.1 After spending millions of dollars
    following the advice of consultants, company executives
    realized that the resulting game was almost completely
    deterministic, and therefore not much fun to play,2 so they sold all Frogger rights to a
    video game company in an attempt to recoup some of the
    development costs. The rest, as they say, is video game
    history.
The original $1$-D Frogger design, however,
    makes for good programming competition problems. Here is how
    the game works. The board is a row of $n$ squares, each of which contains a
    non-zero integer. These squares are indexed $1, 2, \ldots , n$, from left to
    right. To start the game, the player rolls an $n$-sided die with one of the
    distinct indices on each side, and places a frog token on the
    board square with the resulting index. The player then randomly
    selects a card from a deck of cards with integers written on
    them (one per card); the integer on each card is contained in
    at least one board square. The number on the selected card is
    the magic number (or goal number) for this
    instance of the game.
The player then applies the following rule as many times as
    necessary until the game ends:
If the frog is on a square containing a positive
        integer, $k$, the frog
        makes a length-$k$ hop to the right. (Hop
        distance is measured in board square units.)
If the frog is on a square containing a negative
        integer, $k$, the frog
        makes a length-$|k|$ hop to the left (note
        the absolute value).
The game ends as soon as the frog encounters one of the
    following four fates:
The frog lands on a square containing the magic number.
        This is the only winning outcome for the player. Note that
        if the frog starts on a square containing the magic number,
        the player wins immediately (i.e., after $0$ hops).
The frog falls off the left end of the board.
The frog falls off the right end of the board.
The frog hops onto a square where the frog has been
        before, and therefore is trapped in a cycle.
For a given Frogger board, if $s$ is the frog’s starting position
    and $m$ is the magic
    number, then the pair $(s,m)$ is a winning instance
    if the game ends with the frog landing on a square
    containing $m$. Your
    challenge is to count the number of winning instances.
","The input is the description of a Frogger board. The first
    line contains an integer, $n$, the number of board squares
    $(1 \leq n \leq 200\,
    000)$. This is followed by a line containing
    $n$ space-separated
    non-zero integers. These are the numbers in the board squares
    in order from left to right. Each board square number is in the
    interval $[-200\, 000, 200\,
    000]$.","Output a single integer: the number of winning
    instances.",hard,8.5
"The music playlist at Covel (now dubbed Epicuria) offers
    instrumental tracks that students just can’t get enough of. The
    songs consist of $N$ piano
    notes (A-G) and they are always so catchy. As a result,
    students decide to use the app Shazam to figure out what songs
    to add to their playlists, but there seems to be a problem: the
    app can never figure out what the song is.
You start up Shazam at some note of the song currently
    playing, at which point the app listens to $K$ notes and scavenges its database
    for a match (i.e. a song in the database containing the same
    sequence of $K$ notes
    somewhere in the song). If the end of the song is reached
    before Shazam has listened to $K$ notes, it will instead only match
    songs in the database that end with the
    same sequence it heard. Shazam must always listen to at least
    one note (i.e. $K$ must be
    a positive integer).
Shazam definitely has the currently playing song in its
    database, but if there are other songs in the database that
    match the sequence heard, it will fail to identify the song.
    While it would be nice to listen until the end of the song each
    time, Shazam is constrained by its resources and it wants to
    find an optimal value of $K$, given that users could start
    listening at any note of the song. Given the currently playing
    song, as well as Shazam’s song database, determine the minimum
    value of $K$ such that at
    least $50\% $ of the
    starting positions result in Shazam identifying the song.
","The input starts with one line containing two
    space-separated integers $N$ and $M$. These denote the length of each
    song ($1 \leq N \leq 1\,
    000$) and the number of songs in the database
    ($1 \leq M \leq 1\,
    000$).","Output one line containing the minimum possible value of
    $K$ such that $50\% $ of starting positions of the
    song currently playing allow Shazam to find a match, or
    $-1$ if there is no such
    $K$.",hard,8.5
"You are to choose some of the empty cells to build shops.
    All remaining empty cells, plus the two escalator cells, are
    walkable by the customers. If an empty cell
    is reachable from both escalators via some walkable cells, it
    becomes a hallway. A shop window can be
    installed on an edge between a shop and a hallway.
After the floor planning, it is allowed to have some empty
    cells not reachable from both escalators. These empty cells are
    thus not hallways and cannot have windows installed around
    them. Also, an escalator is not a hallway and windows cannot be
    installed on any side of an escalator.
Based on the latest customer analysis report, the profit of
    the shopping mall grows proportionally to the number of windows
    inside the mall. You need to therefore determine the maximum
    number of shop windows that can be installed in the shopping
    mall.
","The first line of input contains two positive integers
    $r$ and $c$ ($4
    \leq r \cdot c \leq 99$), which are the size of the
    shopping mall. The mall is a grid with $r$ rows and $c$ columns of cells.","Output a single integer, which is the maximum number of
    windows the shopping mall can accommodate.",hard,8.5
"Where is Polly Polygon? She’s somewhere in the midst of a
    field of lines.
Given a set of lines, count how many non-self-intersecting
    polygons can be formed with exactly one segment from each line.
    Trivial segments (i.e., length 0) do not count. The polygon
    must contain exactly the same number of distinct vertices as
    there are lines in the field.
","The first line of input contains an integer $n$ ($3
    \le n \le 12$), which is the number of lines in the
    plane.","Output a single integer, which is the number of
    non-self-intersecting polygons that can be formed with exactly
    one segment from each line.",hard,8.5
"Greg Brandon Sr. is working at a shipping company in Redmond
    that specializes in shipping Chromium. Redmond contains
    $n$ intersections and
    $m$ two-way roads that
    directly connect two intersections (Redmond can be modelled as
    a graph with $n$ vertices
    and $m$ edges). It is
    always possible to travel from any intersection to any other
    intersection via the roads.
The shipping company has two warehouses and $s$ employees. The warehouses and
    employees are currently located at some of the intersections in
    Redmond. Greg needs to make $t$ deliveries to his clients who are
    also located at some of the intersections in Redmond. For each
    delivery, one of his employees will travel to either warehouse
    to pick up the item to deliver, then travel to the
    corresponding client. Each warehouse always contains an
    infinite amount of each item. Greg would like to minimize the
    total distance travelled by his employees (he does not care
    about the return trip). Each employee may make at most one
    delivery.
","The first line of input contains four space-separated
    integers $n$, $m$, $s$, and $t$ ($2\le n\le 10^5$, $n-1\le m\le 2\cdot 10^5$, and
    $1\le t\le s\le 10^5$),
    denoting the number of intersections, the number of roads, the
    number of employees, and the number of deliveries
    respectively.","The only line of output should contain a single integer
    denoting the minimum total distance.",hard,8.5
"The self-proclaimed “super duper party pony” and amusement
    factory owner Cheese Sandwich has lost his laugh, and it’s up
    to his longtime pal Pinkie Pie to get it back.
By now, Pinkie Pie has pulled out all the stops to get her
    “partier” in crime to laugh, all to no avail. As a last resort,
    she has decided to whip out her secret weapon: the game of
    chicken, involving Cheese Sandwich’s
    childhood toy, Boneless the rubber chicken!
To make things funnier, the game will involve four of them. Here’s how the game is played:
Four chickens are laid out in a row, at different
        integer positions $X_1$, $X_2$, $X_3$ and $X_4$. This row can be viewed as a
        number line where zero is the center, smaller numbers are
        farther to the left and larger numbers are farther to the
        right; at any point in the game, chickens can be placed
        only on integer coordinates on this line, and no two
        chickens can ever simultaneously occupy the same
        position.
Players alternate turns. During a player’s turn, he or
        she first needs to remove either the leftmost or rightmost
        chicken in the row. This chicken must then be placed
        between the leftmost and the rightmost of the remaining chickens. This player is now called
        chicken; if the other player was
        already called chicken, the other player is no longer
        called chicken.
The game is over when no more valid moves can be played.
        (If at least one valid move exists, a move must be made.)
        The player who is called chicken at this point is the
        loser, and the other player is the winner.
Pinkie Pie’s game plan is thus: she will ham up her skills
    in this game, saying that she has won every game she has played
    since she was a filly, and then purposely lose to Cheese
    Sandwich, who has never played this game in his life. This
    unexpected turn of events is sure to evoke laughter from even
    the most agelastic of ponies!
Here is the problem. Pinkie Pie is so good that she does not
    know how to lose. You need to tell her what moves to make such
    that she definitely loses. Obviously, she still needs to play
    the game properly—“losing” by not following the rules is not
    exactly convincing.
",,,hard,8.5
"The Makers’ Association of Pristine Sculptures (MAPS) has
    come up with designs for some new sculptures. However, none of
    the designs meet the necessary safety standards.
Each initial sculpture design can be modelled as a simple
    polygon. To make a design safe, it must be augmented with
    support struts. Each strut can be modelled as a line segment
    between two vertices of a polygon. Specifically, for an
    $n$-sided polygon
    sculpture design there must be $n-3$ support strut line segments
    between $n-3$ distinct
    pairs of vertices such that, with the exception of the
    endpoints of the struts, each support strut lies entirely in
    the interior of the polygon. The support struts may share
    endpoints with one another, but they may not intersect
    one another at any other point.
MAPS wants to make make its designs safe, but its members do
    not want to spend more money than is necessary to meet the
    safety standards. The cost of a support strut is equal to the
    square of its length. The cost of a safe design is the sum of
    the costs of the struts used to make the design safe. Help MAPS
    by finding the smallest cost to make each of its designs
    safe.
","The input starts with a line containing an integer,
    $n$ $(4\leq n\leq 200)$, specifying the
    number of vertices of the polygon modelling a sculpture. This
    is followed by $n$ lines,
    each containing two space-separated integers, $x$ and $y$ $(|x|,|y|\leq 10^4)$, that give the
    coordinates $(x,y)$ of the
    vertices of the polygon in clockwise order. The polygon is
    simple, i.e., its vertices are distinct and no two edges of the
    polygon intersect or touch, except that consecutive edges touch
    at their common vertex. In addition, no three consecutive
    vertices are collinear.","Output a single positive integer, the minimum cost required
    to make the design safe. If it is not possible to place
    $n-3$ struts as described
    above, output “impossible”
    instead.",hard,8.5
"Princess Celestia and Princess Luna will soon be abdicating
    the throne to allow for the formal succession of their protégée
    Princess Twilight Sparkle. In the transition, they have decided
    to go on vacation, giving Twilight some experience in managing
    the matters of the castle.
Celestia and Luna have prepared a bucket list of
    $N$ activities they want
    to do together. Unfortunately, their likes are wildly
    different, and so each activity on their list is enjoyed by
    exactly one of them.
Now, they intend to go through each of the activities in
    their list in order, but this brings an issue: if they do two
    activities in a row that only one of them enjoys, then the
    other one will be quite displeased!
Let’s call a list acceptable if no
    two consecutive activities on the list are enjoyed by the same
    princess.
They intend to transform their list into an acceptable one.
    To make things a little more interesting, they are limited to
    making the following type of move: choosing some non-empty
    prefix of their list (possibly the whole list), reversing this
    prefix, and then shifting it to the end of their list.
They’re already itching to start their sojourn, so they want
    to have their itinerary fixed as soon as possible. Help them
    make their list acceptable with the minimum number of
    moves!
If it is not possible to make their list acceptable, you
    should also let them know.
","The first line of input contains a single integer
    $N$ ($2 \leq N \leq 300\, 000$), the number
    of activities on their list.","If it is not possible to make their list acceptable, output
    a single line containing the string IMPOSSIBLE.",hard,8.5
